Anio,Nommodalidad,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio
1980,Riego,2490.0,2210.0,0.0,22100.0,442000.0,10.0,20.0
1980,Temporal,760.0,675.0,0.0,6277.0,125540.0,9.3,20.0
1981,Riego,2545.0,2498.0,0.0,24705.0,551366.0,9.89,22.32
1981,Temporal,645.0,623.0,0.0,3739.0,83447.0,6.0,22.32
1982,Riego,2545.0,2508.0,0.0,24964.0,617060.0,9.95,24.72
1982,Temporal,645.0,623.0,0.0,4054.0,109174.0,6.51,26.93
1983,Riego,1638.0,1317.0,0.0,10892.0,343098.0,8.27,31.5
1983,Temporal,202.0,186.0,0.0,873.0,27500.0,4.69,31.5
1984,Riego,2545.0,2508.0,0.0,21012.0,1677178.0,8.38,79.82
1984,Temporal,645.0,623.0,0.0,3143.0,250874.0,5.04,79.82
1985,Riego,2622.0,2589.0,0.0,22007.0,2772882.0,8.5,126.0
1985,Temporal,656.0,650.0,0.0,3250.0,409500.0,5.0,126.0
1986,Riego,769.0,616.0,0.0,5478.0,741503.0,8.89,135.36
1986,Temporal,331.0,298.0,0.0,2040.0,466716.0,6.85,228.78
1987,Riego,852.0,690.0,0.0,6771.0,2813998.0,9.81,415.6
1987,Temporal,331.0,216.0,0.0,2140.0,1011440.0,9.91,472.64
1988,Riego,1078.0,800.0,0.0,10837.0,11947318.0,13.55,1102.46
1988,Temporal,541.0,244.0,0.0,2138.0,1498942.0,8.76,701.1
1989,Riego,1173.0,767.0,0.0,7670.0,8483120.0,10.0,1106.01
1989,Temporal,203.0,150.0,0.0,1350.0,1027080.0,9.0,760.8
1990,Riego,705.0,549.0,0.0,5135.0,6281188.0,9.35,1223.21
1990,Temporal,139.0,139.0,0.0,1634.0,1327610.0,11.76,812.49
1991,Riego,781.0,646.0,0.0,6333.0,8270898.0,9.8,1306.0
1991,Temporal,142.0,140.0,0.0,1153.0,1797816.0,8.24,1559.25
1992,Riego,730.0,547.0,0.0,5458.0,7721558.0,9.98,1414.72
1992,Temporal,109.0,98.0,0.0,1116.0,1260250.0,11.39,1129.26
1993,Riego,697.0,622.0,0.0,7076.0,8852076.0,11.38,1251.0
1993,Temporal,41.0,38.0,0.0,314.0,453416.0,8.26,1444.0
1994,Riego,615.0,605.0,0.0,7238.0,9937774.0,11.96,1373.0
1994,Temporal,72.0,69.0,0.0,647.0,1067550.0,9.38,1650.0
1995,Riego,375.0,331.0,0.0,3506.0,5420276.0,10.59,1546.0
1995,Temporal,321.0,309.0,0.0,3144.0,5602608.0,10.17,1782.0
1996,Riego,982.0,555.0,0.0,6106.0,10117642.0,11.0,1657.0
1996,Temporal,58.0,58.0,0.0,429.0,710853.0,7.4,1657.0
1997,Riego,682.0,554.0,0.0,6159.0,16956712.44,11.12,2753.16
1997,Temporal,61.0,61.0,0.0,580.0,1376601.0,9.51,2373.45
1998,Riego,540.0,535.0,0.0,4578.0,18447600.36,8.56,4029.62
1998,Temporal,55.0,55.0,0.0,407.0,1112497.87,7.4,2733.41
1999,Riego,494.0,492.0,0.0,4581.0,21900794.53,9.31,4780.79
1999,Temporal,112.0,112.0,0.0,984.0,4465500.0,8.79,4538.11
2000,Riego,556.0,521.0,0.0,4292.0,21933181.41,8.24,5110.25
2000,Temporal,98.0,98.0,0.0,921.0,4637000.0,9.4,5034.74
2001,Riego,526.5,513.0,0.0,4016.7,24311337.93,7.83,6052.57
2001,Temporal,101.5,101.5,0.0,917.5,5506913.85,9.04,6002.09
2002,Riego,458.7,444.0,0.0,3920.7,19483914.07,8.83,4969.5
2002,Temporal,235.5,181.5,0.0,1505.25,8546320.21,8.29,5677.67
2003,Riego,449.2,438.5,0.0,3625.7,20911350.0,8.268437856328392,5767.53454505337
2003,Temporal,231.5,177.5,0.0,1527.5,9828250.0,8.605633802816902,6434.206219312602
2004,Riego,368.7,303.7,0.0,2681.6,15449250.0,8.82966743496872,5761.205996420048
2004,Temporal,231.5,175.0,0.0,1552.02,9134160.0,8.868685714285714,5885.336529168439
2005,Riego,587.53,372.68,0.0,2864.57,17842770.08,7.6869700547386515,6228.777778165659
2005,Temporal,797.0,354.75,0.0,3046.58,23266240.0,8.587822410147991,7636.838684689062
2006,Riego,619.23,380.38,0.0,2544.52,17944880.0,6.689573584310426,7052.363510603179
2006,Temporal,955.0,387.75,0.0,3793.08,30757940.0,9.782153449387492,8108.961582671602
2007,Riego,783.58,470.68,0.0,3335.16,31989380.7,7.086045296167247,9591.558036196164
2007,Temporal,1384.0,555.0799999999999,0.0,6872.57,69413366.33,12.381116235497588,10100.05955996083
2008,Riego,861.38,481.88,0.0,4168.17,45277388.44,8.649692039511914,10862.653981003654
2008,Temporal,1367.5,748.25,0.0,7009.4,79808832.5,9.36772469094554,11385.972051816134
2009,Riego,1719.3799999999999,645.83,0.0,6292.73,80475712.67,9.743911555672545,12788.680377991748
2009,Temporal,3683.5,1342.0,0.0,9088.7,108580615.1,6.772518628912071,11946.770726396513
2010,Riego,3000.23,908.3299999999999,0.0,9371.689999999999,121730651.47,10.317440797947881,12989.188830936579
2010,Temporal,5468.25,3317.5,0.0,20615.09,249023489.79,6.214046721929163,12079.670379231913
2011,Riego,5087.35,1907.25,0.0,16319.630000000001,198917810.74,8.556709922663522,12188.867685388701
2011,Temporal,5780.629999999999,4022.1,0.0,21421.91,184396999.11,5.326048830213073,8607.869191495996
2012,Riego,5479.009999999999,2210.75,0.0,15315.37,212794246.69,6.92763089449282,13894.16296803799
2012,Temporal,5564.1,3522.85,0.0,25530.59,281943137.34,7.247139389982543,11043.345936580392
2013,Riego,10336.490000000002,6834.470000000001,0.0,69263.84999999999,747614159.1999999,10.134587319865327,10793.713592311144
2013,Temporal,3097.6099999999997,2055.67,0.0,18103.93,136704502.16,8.8068245389581,7551.095378804491
2014,Riego,11410.390000000001,8335.179999999998,0.0,80175.54,1079508227.46,9.618943394143859,13464.308783308476
2014,Temporal,3565.6099999999997,2491.9300000000003,0.0,20074.79,314057682.25,8.055688883716638,15644.381946012882
2015,Riego,12230.84,9582.05,0.0,93072.9,1393788336.9699998,9.712760348777142,14975.232714695685
2015,Temporal,4810.01,3480.6000000000004,0.0,26574.51,418609333.93999994,7.633669424811813,15752.287960790247
2016,Riego,15928.93,10542.0,0.0,116833.30999999998,1585124778.5400002,11.082594004932647,13567.404523026868
2016,Temporal,3608.62,2693.9,0.0,26671.31,339915033.28000003,9.900629533390253,12744.594489374536
2017,Riego,17287.17,12035.009999999998,0.0,141736.83000000002,2288480347.33,11.777278124405385,16145.982292641931
2017,Temporal,3740.0499999999997,2640.4,0.0,27951.32,502013483.59000003,10.58634835630965,17960.278213458256
2018,Riego,17736.97,15856.429999999998,0.0,175254.5,2623483113.16,11.052737343777888,14969.562078015686
2018,Temporal,4791.86,2805.3,0.0,26549.87,448754086.03000003,9.46439646383631,16902.308063346452
2019,Riego,18909.219999999998,16551.7,0.0,200781.99,4117474898.850001,12.13059612607768,20507.1923973704
2019,Temporal,4793.099999999999,3005.2,0.0,30830.689999999995,594903344.74,10.259810461866099,19295.816757052802
2020,Riego,23266.72,18043.89,0.0,220249.54,3728763662.559999,12.206527483818624,16929.72281594504
2020,Temporal,3404.07,2876.1699999999996,0.0,27943.19,458271236.4200001,9.715416578296834,16400.104512387457
2021,Riego,24375.35,18537.39,0.0,227470.20999999996,4980649803.349999,12.270887239249971,21895.83331923948
2021,Temporal,3404.07,2876.1699999999996,0.0,28550.71,601698999.8100001,9.9266401499216,21074.747344027524
2022,Riego,24060.72,23248.72,0.0,267267.95,8580088223.559999,11.495583490187846,32102.94471810443
2022,Temporal,4587.07,4584.07,0.0,41545.26,1129447212.65,9.063958905514095,27185.946426321556
2023,Riego,25556.94,23331.309999999998,0.0,288293.95,8054898506.37,12.356526590234324,27939.880480781852
2023,Temporal,4061.9300000000003,3559.33,0.0,34934.42,919517128.73,9.814882857166939,26321.23644026722
2024,Riego,27627.940000000002,25634.31,0.0,314206.57999999996,7796147607.400002,12.25726710412724,24812.171571760213
2024,Temporal,3274.9300000000003,2775.33,0.0,24809.27,652205681.8000001,8.93921407544328,26288.793887139767
